"name","parents","children","actionable","integratedReturn","roi","exponented","integratedInvestment","childrenHourInvestmentTotal"
"conversion_work_500_hour_at_higher_rate","money:400","hour:500,better_conversion_essential:1","true","-5155309.4446144","-73647.27778020571","-515530.94446144","70.0","700.0"
"better_conversion","money:3000","hour:800","true","-5889239.3652736","-73615.49206592","-588923.93652736","80.0","800.0"
"innovation_exit","money:5000000","hour:1500","true","-6047948.809888","-40319.658732586664","-604794.8809888","150.0","1500.0"
"universalgraph","innovation_ideas:3.5","hour:1000","true","-6315299.206592","-63152.99206592","-631529.9206592","100.0","1000.0"
"innovation_execution","innovation:0.7","hour:1500","true","-8947948.809888","-59652.99206592","-894794.8809888","150.0","1500.0"
"amplifier","innovation_ideas:0.8,secual_ver1:-1","hour:400","true","-1.4730598413184E7","-368264.9603296","-1473059.8413184","40.0","400.0"
"media_filter","innovation_ideas:0.8,secual_ver1:-1","hour:400","true","-1.4730598413184E7","-368264.9603296","-1473059.8413184","40.0","400.0"
"che","innovation_ideas:0.8,secual_ver1:-1","hour:400","true","-1.4730598413184E7","-368264.9603296","-1473059.8413184","40.0","400.0"
"money_for_5_years","money_for_1_year:5","money_for_1_year:5","true","-2.1849960019775998E7","-72833.20006592","-2184996.0019775997","300.0","600.0"
"yearly_hour","monthly_hour:12","monthly_hour:12","false","-4.241076022996992E7","-73629.79206592","-4241076.022996992","576.0","16.0"
"coming_5_years","yearly_hour:12","yearly_hour:12","false","-5.089291227596391E8","-73629.79206592","-5.089291227596391E7","6912.0","16.0"
"publish_searchlater","innovation:0.05","hour:50","true","-218264.96032960003","-43652.99206592001","-1.039805385611348E13","5.0","50.0"
"motivation","eliminate.place:0.4","hour:50","true","-222410.8332136","-44482.16664272","-1.1001902991736213E13","5.0","50.0"
"essentialize","eliminate_time:0.1,project_concentration:0.2","hour:50","true","-357905.6435296","-71581.12870592","-4.5846442253119016E13","5.0","50.0"
"better_voicememo","better_messaging:0.5,secual_ver1:-0.6","hour:50","true","-8978414.1667854","-1795682.8333570801","-7.2376721307225267E17","5.0","50.0"
"better_wearing","better_looks:0.1","money_for_1_year:0.05","true","-56461.32228975999","-18820.44076325333","-5.7379297153203036E18","3.0","600.0"
"integratedROI","auto_brain:0.5","hour:30","true","-121905.21619775999","-40635.072065919994","-2.6922255724115975E20","3.0","30.0"
"better_transportation_essential","better_transportation:0.4","better_transportation:0.2","true","-193307.95473036","-64435.98491012","-2.6992843036889894E21","3.0","50.0"
"eliminate_communication_cost","new_jit:0.1","hour:30","true","-196886.96869776","-65628.98956592","-2.958590530060256E21","3.0","30.0"
"kaizen_hiring","new_jit:0.1","hour:10","true","-49580.98456591999","-49580.98456591999","-2.6898446558644006E55","1.0","10.0"
"better_personnel","better_new_os:0.1","hour:10","true","-71642.83846592","-71642.83846592","-6.723443533951718E57","1.0","10.0"
"better_voicememo_essential","better_voicememo:0.4","better_voicememo:0.2","true","-3591365.6667141602","-3591365.6667141602","-2.1325263076291993E83","1.0","50.0"
"fix_searchlater","monthly_hour:0.1","hour:2","true","-14619.238413183999","-73096.19206592","-2.340756043659641E237","0.2","2.0"
